City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Kapaa,US,75.52,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Lorengau,PG,82.35,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
14,Bac Lieu,VN,78.13,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
18,Meulaboh,ID,79.21,overcast clouds,4.1363,96.1285,Kost Pria
19,Atuona,PF,77.49,few clouds,-9.8,-139.0333,Villa Enata
20,Hithadhoo,MV,83.55,broken clouds,-0.6,73.0833,Scoop Guest House
21,Xai-Xai,MZ,78.04,clear sky,-25.0519,33.6442,Complexo da Familia
22,Banda Aceh,ID,80.65,overcast clouds,5.5577,95.3222,Sulthan Hotel International
27,Marsa Matruh,EG,77.83,clear sky,31.3525,27.2453,Beau Site
32,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
33,Galle,LK,80.67,scattered clouds,6.0367,80.217,Amangalla
35,Fomboni,KM,78.04,clear sky,-12.28,43.7425,Auberge les abou
41,Mbandaka,CD,85.48,broken clouds,0.0487,18.2603,Guest House Epervier
44,Kavieng,PG,82.42,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
46,Georgetown,MY,84.13,light rain,5.4112,100.3354,Cititel Penang
49,Hilo,US,78.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
51,Kieta,PG,78.28,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
53,Salalah,OM,79.3,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
58,Mount Pleasant,US,76.05,broken clouds,32.7941,-79.8626,Best Western Patriots Point
60,Poum,NC,75.72,moderate rain,-20.2333,164.0167,Gîte kajeon
62,Yen Bai,VN,75.65,broken clouds,21.7,104.8667,AK MOTEL
66,San Angelo,US,79.29,overcast clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
84,Kahului,US,75.97,broken clouds,20.8947,-156.47,Maui Seaside Hotel
87,Hobyo,SO,80.13,light rain,5.3505,48.5268,Halane Hotel and Restaurent
91,Viedma,AR,80.11,overcast clouds,-40.8135,-62.9967,Hotel Cristal
98,Prado,BR,77.09,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
99,Alice Town,BS,79.36,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
101,Bambous Virieux,MU,76.21,clear sky,-20.3428,57.7575,Casa Tia Villa
108,Tabou,CI,81.05,overcast clouds,4.423,-7.3528,hotêl doufoulougou
113,Puerto Leguizamo,CO,87.1,overcast clouds,-0.1934,-74.7819,la casona de juancho
125,Buchanan,LR,80.56,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
132,Cayenne,GF,87.1,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
136,Bhinmal,IN,86.18,clear sky,25.0,72.25,Jambheswar Bhavan(Gopi Khilery)
138,Iralaya,HN,84.29,few clouds,15.0,-83.2333,Iglesia morava renovada
139,Karratha,AU,76.89,clear sky,-20.7377,116.8463,ibis Styles Karratha
