City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Rikitea,-23.1203,-134.9692,73.71,78,69,12.28,PF,broken clouds
1,Kapaa,22.0752,-159.319,75.52,81,75,4.0,US,heavy intensity rain
2,Ucluelet,48.9329,-125.5528,48.09,88,100,3.0,CA,overcast clouds
3,Bluff,-46.6,168.3333,44.71,71,100,23.82,NZ,overcast clouds
4,Lorengau,-2.0226,147.2712,82.35,77,8,7.67,PG,clear sky
5,Pangnirtung,66.1451,-65.7125,40.62,61,66,3.13,CA,broken clouds
6,San Jeronimo,-11.9472,-75.2829,61.16,40,4,1.88,PE,clear sky
7,Panzhihua,26.5851,101.7128,69.71,81,24,2.26,CN,few clouds
8,Vila Franca Do Campo,37.7167,-25.4333,73.81,71,89,7.54,PT,overcast clouds
9,Margate,51.3813,1.3862,60.96,74,91,1.99,GB,overcast clouds
10,Lusambo,-4.9667,23.45,80.96,66,96,2.26,CD,overcast clouds
11,Punta Arenas,-53.15,-70.9167,53.71,43,0,19.57,CL,clear sky
12,Qazvin,36.2797,50.0049,66.63,18,17,6.98,IR,few clouds
13,Harer,9.3094,42.1258,67.53,57,100,1.16,ET,overcast clouds
14,Bac Lieu,9.285,105.7244,78.13,89,100,8.39,VN,overcast clouds
15,Shizunai,42.3339,142.3669,57.72,74,100,10.51,JP,overcast clouds
16,Puerto Ayora,-0.7393,-90.3518,69.55,92,94,7.0,EC,overcast clouds
17,Barrow,71.2906,-156.7887,28.42,86,90,20.71,US,light snow
18,Meulaboh,4.1363,96.1285,79.21,80,94,2.21,ID,overcast clouds
19,Atuona,-9.8,-139.0333,77.49,67,21,15.41,PF,few clouds
20,Hithadhoo,-0.6,73.0833,83.55,74,68,17.47,MV,broken clouds
21,Xai-Xai,-25.0519,33.6442,78.04,48,9,9.6,MZ,clear sky
22,Banda Aceh,5.5577,95.3222,80.65,78,100,14.29,ID,overcast clouds
23,Porto-Vecchio,41.591,9.2795,74.86,41,0,5.75,FR,clear sky
24,Agirish,61.9247,63.0231,34.9,99,100,4.97,RU,overcast clouds
25,Ushuaia,-54.8,-68.3,53.26,40,40,20.71,AR,light rain
26,Khatanga,71.9667,102.5,12.88,97,100,5.86,RU,overcast clouds
27,Marsa Matruh,31.3525,27.2453,77.83,61,6,11.99,EG,clear sky
28,Codrington,-38.2667,141.9667,54.68,67,79,13.44,AU,broken clouds
29,Thompson,55.7435,-97.8558,42.96,100,90,8.05,CA,overcast clouds
30,Yellowknife,62.456,-114.3525,34.41,100,57,4.0,CA,broken clouds
31,Jamestown,42.097,-79.2353,70.02,75,40,11.01,US,scattered clouds
32,Banjar,-8.19,114.9675,78.66,81,95,8.43,ID,overcast clouds
33,Galle,6.0367,80.217,80.67,83,44,12.8,LK,scattered clouds
34,San Isidro,-12.1167,-77.05,64.02,84,86,3.0,PE,overcast clouds
35,Fomboni,-12.28,43.7425,78.04,80,10,10.38,KM,clear sky
36,East London,-33.0153,27.9116,69.94,70,61,7.96,ZA,broken clouds
37,Bredasdorp,-34.5322,20.0403,69.66,53,100,9.4,ZA,overcast clouds
38,Busselton,-33.65,115.3333,47.08,69,93,5.84,AU,overcast clouds
39,Sao Gabriel,-30.3364,-54.32,72.88,62,19,5.77,BR,few clouds
40,Laguna,38.421,-121.4238,56.08,39,1,5.01,US,clear sky
41,Mbandaka,0.0487,18.2603,85.48,55,52,2.71,CD,broken clouds
42,Bollene,44.2848,4.753,66.79,50,0,25.32,FR,clear sky
43,Zyryanovsk,49.7386,84.2719,35.96,97,100,2.93,KZ,overcast clouds
44,Kavieng,-2.5744,150.7967,82.42,76,96,11.72,PG,overcast clouds
45,Qaanaaq,77.484,-69.3632,28.6,95,98,5.35,GL,overcast clouds
46,Georgetown,5.4112,100.3354,84.13,79,94,0.0,MY,light rain
47,Albany,42.6001,-73.9662,69.31,86,99,1.01,US,overcast clouds
48,Hobart,-42.8794,147.3294,47.26,78,100,1.99,AU,overcast clouds
49,Hilo,19.7297,-155.09,78.28,93,90,8.05,US,moderate rain
50,Okhotsk,59.3833,143.3,31.19,60,17,21.52,RU,few clouds
51,Kieta,-6.2167,155.6333,78.28,81,100,2.13,PG,overcast clouds
52,Tuktoyaktuk,69.4541,-133.0374,24.8,100,90,10.36,CA,light snow
53,Salalah,17.0151,54.0924,79.3,73,6,1.92,OM,clear sky
54,New Norfolk,-42.7826,147.0587,47.91,69,100,1.01,AU,overcast clouds
55,Port Elizabeth,-33.918,25.5701,69.1,88,75,10.36,ZA,fog
56,Port Alfred,-33.5906,26.891,68.54,75,62,7.9,ZA,broken clouds
57,Lakselv,70.0513,24.9718,42.62,70,40,17.27,NO,scattered clouds
58,Mount Pleasant,32.7941,-79.8626,76.05,80,75,1.99,US,broken clouds
59,Doha,25.2867,51.5333,93.51,60,0,8.05,QA,clear sky
60,Poum,-20.2333,164.0167,75.72,90,100,16.28,NC,moderate rain
61,Dunedin,-45.8742,170.5036,46.8,69,100,32.01,NZ,overcast clouds
62,Yen Bai,21.7,104.8667,75.65,83,84,3.36,VN,broken clouds
63,Mataura,-46.1927,168.8643,39.78,91,100,7.76,NZ,overcast clouds
64,Weinan,34.5036,109.5089,54.75,78,0,1.1,CN,light rain
65,Katsuura,35.1333,140.3,69.82,89,100,17.29,JP,overcast clouds
66,San Angelo,31.4638,-100.437,79.29,76,96,10.0,US,overcast clouds
67,Am Timan,11.0297,20.2827,96.37,27,34,4.03,TD,scattered clouds
68,Cape Town,-33.9258,18.4232,72.88,51,100,5.01,ZA,overcast clouds
69,Isangel,-19.55,169.2667,73.47,84,81,7.9,VU,broken clouds
70,Saint Anthony,45.0205,-93.218,60.82,84,90,1.01,US,overcast clouds
71,Kichera,55.9375,110.0997,28.85,75,100,8.28,RU,overcast clouds
72,Kruisfontein,-34.0033,24.7314,66.88,54,100,10.38,ZA,overcast clouds
73,Anadyr,64.75,177.4833,17.01,92,99,5.99,RU,overcast clouds
74,Vaini,-21.2,-175.2,71.87,62,1,12.88,TO,clear sky
75,Pisco,-13.7,-76.2167,62.02,87,66,5.79,PE,broken clouds
76,Tiksi,71.6872,128.8694,19.44,94,98,9.08,RU,overcast clouds
77,Ashland,40.8167,-82.2665,72.16,79,19,15.59,US,few clouds
78,Saint-Michel-Des-Saints,46.6834,-73.9159,61.93,68,100,4.81,CA,overcast clouds
79,Pout,14.7739,-17.0603,90.36,48,0,10.36,SN,clear sky
80,Beringovskiy,63.05,179.3167,18.27,88,48,13.8,RU,scattered clouds
81,Tasiilaq,65.6145,-37.6368,32.11,62,69,2.15,GL,broken clouds
82,Port Macquarie,-31.4333,152.9167,58.89,100,75,9.22,AU,broken clouds
83,Verkhnevilyuysk,63.4453,120.3167,22.96,85,100,11.3,RU,overcast clouds
84,Kahului,20.8947,-156.47,75.97,87,66,14.81,US,broken clouds
85,Kaitangata,-46.2817,169.8464,43.97,79,100,19.06,NZ,overcast clouds
86,Luderitz,-26.6481,15.1594,67.51,60,74,6.2,NA,broken clouds
87,Hobyo,5.3505,48.5268,80.13,77,100,20.67,SO,light rain
88,Port Lincoln,-34.7333,135.8667,52.34,80,80,12.41,AU,broken clouds
89,Kurchum,48.5722,83.6542,40.53,85,100,8.5,KZ,overcast clouds
90,Castro,-24.7911,-50.0119,70.88,60,59,5.37,BR,broken clouds
91,Viedma,-40.8135,-62.9967,80.11,30,98,12.1,AR,overcast clouds
92,Lagoa,39.05,-27.9833,69.21,65,2,7.52,PT,clear sky
93,Dikson,73.5069,80.5464,30.24,78,53,13.31,RU,broken clouds
94,Chuy,-33.6971,-53.4616,68.85,76,62,5.3,UY,broken clouds
95,Torbay,47.6666,-52.7314,47.57,87,90,16.11,CA,overcast clouds
96,Portland,45.5234,-122.6762,41.7,92,75,3.0,US,fog
97,Kodiak,57.79,-152.4072,41.83,72,87,17.13,US,overcast clouds
98,Prado,-17.3411,-39.2208,77.09,76,89,7.11,BR,overcast clouds
99,Alice Town,25.7167,-79.3,79.36,74,1,6.78,BS,clear sky
100,Makkaveyevo,51.7533,113.9454,34.52,68,100,2.33,RU,overcast clouds
101,Bambous Virieux,-20.3428,57.7575,76.21,79,2,5.28,MU,clear sky
102,Carnarvon,-24.8667,113.6333,66.07,65,0,27.87,AU,clear sky
103,Antofagasta,-23.65,-70.4,63.03,66,89,10.8,CL,overcast clouds
104,Taoudenni,22.6783,-3.9836,105.4,5,10,4.68,ML,clear sky
105,Collie,-33.3667,116.15,44.98,84,25,1.32,AU,scattered clouds
106,Akureyri,65.6835,-18.0878,38.21,90,100,1.95,IS,heavy intensity rain
107,Chokurdakh,70.6333,147.9167,15.42,91,100,7.52,RU,overcast clouds
108,Tabou,4.423,-7.3528,81.05,78,91,9.24,CI,overcast clouds
109,Fortuna,40.5982,-124.1573,39.33,38,0,3.71,US,clear sky
110,Avarua,-21.2078,-159.775,71.65,94,90,16.11,CK,heavy intensity rain
111,Saint George,37.1041,-113.5841,45.43,76,75,4.0,US,broken clouds
112,Nouadhibou,20.931,-17.0347,69.51,83,19,21.16,MR,few clouds
113,Puerto Leguizamo,-0.1934,-74.7819,87.1,61,100,1.32,CO,overcast clouds
114,Haines Junction,60.7522,-137.5108,30.88,98,100,3.18,CA,overcast clouds
115,Nikolskoye,59.7035,30.7861,49.8,67,1,5.5,RU,clear sky
116,Plaster Rock,46.9065,-67.39,66.15,77,100,4.47,CA,overcast clouds
117,Veisiejai,54.1,23.7,48.29,65,24,6.11,LT,few clouds
118,Avera,33.194,-82.5271,75.07,70,0,5.08,US,clear sky
119,Linhai,28.85,121.1167,68.94,88,100,4.09,CN,moderate rain
120,Ovsyanka,55.9575,92.5519,27.57,92,100,2.66,RU,light snow
121,Clarksburg,39.2807,-80.3445,74.08,67,40,5.75,US,scattered clouds
122,Novoagansk,61.9449,76.6625,27.03,68,45,6.02,RU,scattered clouds
123,Hermanus,-34.4187,19.2345,70.9,73,99,6.15,ZA,overcast clouds
124,Broken Hill,-31.95,141.4333,56.91,33,1,8.05,AU,clear sky
125,Buchanan,5.8808,-10.0467,80.56,88,96,6.8,LR,light rain
126,Ilulissat,69.2167,-51.1,30.22,69,75,2.3,GL,broken clouds
127,Caravelas,-17.7125,-39.2481,73.35,86,98,5.1,BR,overcast clouds
128,Ribeira Grande,38.5167,-28.7,73.8,64,20,8.05,PT,few clouds
129,Cidreira,-30.1811,-50.2056,70.43,79,22,17.94,BR,few clouds
130,Lincoln,40.8,-96.667,63.66,72,0,1.01,US,clear sky
